distinct_id,game_num,killer_with_friend_num,friend_num,new_num,duomaomao_num,advance_num,twelve_num,duomaomao2_num,min,total_pay
129876906,754,210,18,13,42,14,679,6,3.7,
129877298,724,227,13,1,1,665,57,0,,
130019980,1280,239,36,4,48,1145,83,0,,
130105027,1014,575,7,0,0,1013,1,0,,
130149746,600,462,8,29,105,455,8,3,,
130201547,861,347,87,18,0,828,8,7,1.317,
130235839,537,42,4,0,1,1,367,168,,
130244847,504,213,16,0,0,0,504,0,1.933,18
130314056,1022,54,1,1,10,1000,3,8,,
130393590,685,64,12,0,0,685,0,0,,
130418552,644,515,16,0,1,561,14,68,,6
130457384,589,28,1,0,0,585,1,3,,
131007723,707,301,10,0,25,682,0,0,3.867,511
131111681,1199,231,28,22,409,17,295,456,0.25,
131133962,804,306,5,3,7,779,15,0,,
131165776,1126,688,38,253,47,376,355,95,,
131355783,588,110,32,0,9,574,2,3,0.25,
131491245,716,220,11,21,18,100,548,29,0.1,
131507628,1383,1206,85,24,1301,2,38,18,28.95,6
131555081,649,198,66,173,253,177,37,9,4.8,
131621566,690,73,13,12,272,41,336,29,0.067,
13163251,526,143,6,9,25,51,286,155,,
131653208,953,101,49,37,16,24,430,446,0.15,264
131654795,742,540,13,472,127,94,23,26,0.517,
131759424,743,80,5,0,2,741,0,0,,46
131782088,556,539,10,7,11,527,11,0,0.067,
131815806,658,39,17,0,5,648,2,3,,
131834796,494,100,,0,0,3,491,0,,
132066795,1217,210,18,3,18,1172,21,3,22.167,1232
132089306,627,43,13,0,314,58,210,45,,1
132209036,721,137,5,396,0,325,0,0,,
132215069,630,362,41,16,11,561,25,17,1104.05,85
132334283,956,114,8,0,176,8,391,381,,
132374901,765,647,3,0,109,0,511,145,,
132462971,888,342,23,28,830,3,8,19,0.4,
132508830,544,38,9,4,19,490,21,10,,
132526002,614,111,2,0,10,604,0,0,,
132590150,530,277,15,15,7,40,444,24,,
132749863,766,298,76,72,72,349,239,34,,
132838268,860,97,1,0,0,7,784,69,0.45,6
132915770,812,437,26,652,40,117,3,0,,
132929156,975,560,43,132,35,788,9,11,2.633,30
132972477,1077,494,39,23,23,1005,3,23,,5
133291047,514,192,10,16,3,59,431,5,0.25,24
133304849,507,326,15,16,0,33,458,0,,
133363297,678,214,4,11,0,304,2,361,0.117,1
133480428,1263,240,146,360,729,135,18,21,0.067,
133579489,563,9,,0,0,3,537,23,,
133602032,515,89,20,12,9,43,442,9,0.3,12
133625465,1420,733,7,1,2,161,25,1231,0.533,12
133642782,1561,172,39,514,0,599,441,7,,
133659429,632,58,4,10,11,609,0,2,,
133835984,552,119,65,9,23,435,16,69,,39
133885210,1326,671,39,446,647,196,25,12,,
133891579,742,79,6,0,0,646,0,96,,
133953472,779,198,12,589,38,116,32,4,,
133964165,1095,52,13,33,98,7,804,153,,
